"nrounds","max_depth","min_child_weight","eta","gamma","subsample","colsample_bytree","mlogloss"
50,5,1,0.05,0.5,0.9,0.6,1.09913859157129
100,5,1,0.05,0.5,0.9,0.6,1.1008751344502
150,5,1,0.05,0.5,0.9,0.6,1.09069055826683
50,7,1,0.05,0.5,0.9,0.6,1.09718451767258
100,7,1,0.05,0.5,0.9,0.6,1.09634590442991
150,7,1,0.05,0.5,0.9,0.6,1.09572587141499
50,9,1,0.05,0.5,0.9,0.6,1.09894519912894
100,9,1,0.05,0.5,0.9,0.6,1.09651325113126
150,9,1,0.05,0.5,0.9,0.6,1.10263502388625
50,3,5,0.05,0.5,0.9,0.6,1.09326487253438
100,3,5,0.05,0.5,0.9,0.6,1.09021554646034
150,3,5,0.05,0.5,0.9,0.6,1.09765657644425
50,5,5,0.05,0.5,0.9,0.6,1.09908239428934
100,5,5,0.05,0.5,0.9,0.6,1.09852639257261
150,5,5,0.05,0.5,0.9,0.6,1.08961840671701
50,7,5,0.05,0.5,0.9,0.6,1.09708977591311
100,7,5,0.05,0.5,0.9,0.6,1.09785434120328
150,7,5,0.05,0.5,0.9,0.6,1.09772870665483
50,9,5,0.05,0.5,0.9,0.6,1.09958586899786
100,9,5,0.05,0.5,0.9,0.6,1.09247166121332
150,9,5,0.05,0.5,0.9,0.6,1.09783477485912
50,3,1,0.1,0.5,0.9,0.6,1.08894804234755
100,3,1,0.1,0.5,0.9,0.6,1.09895586720148
150,3,1,0.1,0.5,0.9,0.6,1.1009118005485
50,5,1,0.1,0.5,0.9,0.6,1.10443897033512
100,5,1,0.1,0.5,0.9,0.6,1.09337877510768
150,5,1,0.1,0.5,0.9,0.6,1.10023078967768
50,7,1,0.1,0.5,0.9,0.6,1.09330113035355
100,7,1,0.1,0.5,0.9,0.6,1.10092981019777
150,7,1,0.1,0.5,0.9,0.6,1.09751722983044
50,9,1,0.1,0.5,0.9,0.6,1.10307096809159
100,9,1,0.1,0.5,0.9,0.6,1.09400521804282
150,9,1,0.1,0.5,0.9,0.6,1.09621746050788
50,3,5,0.1,0.5,0.9,0.6,1.09615167641239
100,3,5,0.1,0.5,0.9,0.6,1.09617501921411
150,3,5,0.1,0.5,0.9,0.6,1.08882666382701
50,5,5,0.1,0.5,0.9,0.6,1.10154813177557
100,5,5,0.1,0.5,0.9,0.6,1.09574230868848
150,5,5,0.1,0.5,0.9,0.6,1.10125470527888
50,7,5,0.1,0.5,0.9,0.6,1.09639449027228
100,7,5,0.1,0.5,0.9,0.6,1.10278236748364
150,7,5,0.1,0.5,0.9,0.6,1.10375441249132
50,9,5,0.1,0.5,0.9,0.6,1.10416883615377
100,9,5,0.1,0.5,0.9,0.6,1.10530870129659
150,9,5,0.1,0.5,0.9,0.6,1.10706828283993
50,3,1,0.01,2,0.9,0.6,1.09205073630741
100,3,1,0.01,2,0.9,0.6,1.09475430853415
150,3,1,0.01,2,0.9,0.6,1.09215974516047
50,5,1,0.01,2,0.9,0.6,1.09358007036534
100,5,1,0.01,2,0.9,0.6,1.09700836734052
150,5,1,0.01,2,0.9,0.6,1.09913317870472
50,7,1,0.01,2,0.9,0.6,1.09822073063898
100,7,1,0.01,2,0.9,0.6,1.09832060157032
150,7,1,0.01,2,0.9,0.6,1.09769001754298
50,9,1,0.01,2,0.9,0.6,1.09586401355221
100,9,1,0.01,2,0.9,0.6,1.0975490889723
150,9,1,0.01,2,0.9,0.6,1.09667754975376
50,3,5,0.01,2,0.9,0.6,1.09644472942392
100,3,5,0.01,2,0.9,0.6,1.09545972986162
150,3,5,0.01,2,0.9,0.6,1.09474542884926
50,5,5,0.01,2,0.9,0.6,1.09568536118612
100,5,5,0.01,2,0.9,0.6,1.09583194053763
150,5,5,0.01,2,0.9,0.6,1.09782954743149
50,7,5,0.01,2,0.9,0.6,1.09682905396988
100,7,5,0.01,2,0.9,0.6,1.09820154623501
150,7,5,0.01,2,0.9,0.6,1.09764731109499
50,9,5,0.01,2,0.9,0.6,1.09806446517384
100,9,5,0.01,2,0.9,0.6,1.09751277509034
150,9,5,0.01,2,0.9,0.6,1.09760033218294
50,3,1,0.05,2,0.9,0.6,1.10074535724332
100,3,1,0.05,2,0.9,0.6,1.08746670939598
150,3,1,0.05,2,0.9,0.6,1.08296064959426
50,5,1,0.05,2,0.9,0.6,1.0976645242661
100,5,1,0.05,2,0.9,0.6,1.09584475667265
150,5,1,0.05,2,0.9,0.6,1.10067253348372
50,7,1,0.05,2,0.9,0.6,1.09628827797863
100,7,1,0.05,2,0.9,0.6,1.09248510996811
150,7,1,0.05,2,0.9,0.6,1.095306359358
50,9,1,0.05,2,0.9,0.6,1.10219668381683
100,9,1,0.05,2,0.9,0.6,1.09820401671034
150,9,1,0.05,2,0.9,0.6,1.09996436423608
50,3,5,0.05,2,0.9,0.6,1.09717407622881
100,3,5,0.05,2,0.9,0.6,1.0948044629121
150,3,5,0.05,2,0.9,0.6,1.0914923754351
50,5,5,0.05,2,0.9,0.6,1.10281184800659
100,5,5,0.05,2,0.9,0.6,1.09667707850937
150,5,5,0.05,2,0.9,0.6,1.08419541487155
50,7,5,0.05,2,0.9,0.6,1.0990644510416
100,7,5,0.05,2,0.9,0.6,1.09820127670564
150,7,5,0.05,2,0.9,0.6,1.10139274947855
50,9,5,0.05,2,0.9,0.6,1.09738617059313
100,9,5,0.05,2,0.9,0.6,1.09794582474135
150,9,5,0.05,2,0.9,0.6,1.09784258974263
50,3,1,0.1,2,0.9,0.6,1.09936320283957
100,3,1,0.1,2,0.9,0.6,1.08840415257012
150,3,1,0.1,2,0.9,0.6,1.09552642104191
50,5,1,0.1,2,0.9,0.6,1.10054962288032
100,5,1,0.1,2,0.9,0.6,1.09836439763281
150,5,1,0.1,2,0.9,0.6,1.09656424625835
50,7,1,0.1,2,0.9,0.6,1.1022722816599
100,7,1,0.1,2,0.9,0.6,1.09918440410463
150,7,1,0.1,2,0.9,0.6,1.09954523872423
50,9,1,0.1,2,0.9,0.6,1.10300022575045
100,9,1,0.1,2,0.9,0.6,1.10162742986885
150,9,1,0.1,2,0.9,0.6,1.09651393052577
50,3,5,0.1,2,0.9,0.6,1.09867332807603
100,3,5,0.1,2,0.9,0.6,1.0936821573845
150,3,5,0.1,2,0.9,0.6,1.09372527896485
50,5,5,0.1,2,0.9,0.6,1.10302923855877
100,5,5,0.1,2,0.9,0.6,1.10441083393492
150,5,5,0.1,2,0.9,0.6,1.09321228197547
50,7,5,0.1,2,0.9,0.6,1.0954768346607
100,7,5,0.1,2,0.9,0.6,1.10150246947693
150,7,5,0.1,2,0.9,0.6,1.09574835125089
50,9,5,0.1,2,0.9,0.6,1.09853511713854
100,9,5,0.1,2,0.9,0.6,1.09925297094979
150,9,5,0.1,2,0.9,0.6,1.10446735498572
50,3,1,0.01,0,0.6,0.9,1.09837097122644
100,3,1,0.01,0,0.6,0.9,1.09804870146922
150,3,1,0.01,0,0.6,0.9,1.09804044260545
50,5,1,0.01,0,0.6,0.9,1.09791833364235
100,5,1,0.01,0,0.6,0.9,1.09859682033095
150,5,1,0.01,0,0.6,0.9,1.09561660717213
50,7,1,0.01,0,0.6,0.9,1.09867233960919
100,7,1,0.01,0,0.6,0.9,1.09834012991862
150,7,1,0.01,0,0.6,0.9,1.09854941207828
50,9,1,0.01,0,0.6,0.9,1.098656553896
100,9,1,0.01,0,0.6,0.9,1.09765939368266
150,9,1,0.01,0,0.6,0.9,1.09804697397163
50,3,5,0.01,0,0.6,0.9,1.09366044917348
100,3,5,0.01,0,0.6,0.9,1.09610314418556
150,3,5,0.01,0,0.6,0.9,1.09815787209904
50,5,5,0.01,0,0.6,0.9,1.09751204995574
100,5,5,0.01,0,0.6,0.9,1.09815499397858
150,5,5,0.01,0,0.6,0.9,1.09700791556331
50,7,5,0.01,0,0.6,0.9,1.09787966782943
100,7,5,0.01,0,0.6,0.9,1.09574308749736
150,7,5,0.01,0,0.6,0.9,1.09858084200918
50,9,5,0.01,0,0.6,0.9,1.09606987862207
100,9,5,0.01,0,0.6,0.9,1.09796390678828
150,9,5,0.01,0,0.6,0.9,1.09787850462497
50,3,1,0.05,0,0.6,0.9,1.09487112278133
100,3,1,0.05,0,0.6,0.9,1.09557630912658
150,3,1,0.05,0,0.6,0.9,1.09982044717508
50,5,1,0.05,0,0.6,0.9,1.09830762825901
100,5,1,0.05,0,0.6,0.9,1.09656015217945
150,5,1,0.05,0,0.6,0.9,1.09697152998721
50,7,1,0.05,0,0.6,0.9,1.09682430950639
100,7,1,0.05,0,0.6,0.9,1.09859065225787
150,7,1,0.05,0,0.6,0.9,1.09848197710275
50,9,1,0.05,0,0.6,0.9,1.09441165367272
100,9,1,0.05,0,0.6,0.9,1.09741496357908
150,9,1,0.05,0,0.6,0.9,1.0991594123796
50,3,5,0.05,0,0.6,0.9,1.09620381230671
100,3,5,0.05,0,0.6,0.9,1.10381651390236
150,3,5,0.05,0,0.6,0.9,1.0861204618511
50,5,5,0.05,0,0.6,0.9,1.09867404260508
100,5,5,0.05,0,0.6,0.9,1.09765515935604
150,5,5,0.05,0,0.6,0.9,1.09433660919259
50,7,5,0.05,0,0.6,0.9,1.0963458945048
100,7,5,0.05,0,0.6,0.9,1.10117611798544
150,7,5,0.05,0,0.6,0.9,1.09500936080254
50,9,5,0.05,0,0.6,0.9,1.09727362186284
100,9,5,0.05,0,0.6,0.9,1.09601509393412
150,9,5,0.05,0,0.6,0.9,1.09552667822596
50,3,1,0.1,0,0.6,0.9,1.09429729959707
100,3,1,0.1,0,0.6,0.9,1.09598065959844
150,3,1,0.1,0,0.6,0.9,1.09977019617743
